title,type,rating,release_year,duration,description
Crip Camp: A Disability Revolution,Movie,R,2020,108 min,"A groundbreaking summer camp galvanizes a group of teens with disabilities to help build a movement, forging a new path toward greater equality."
Amy,Movie,R,2015,128 min,Rare home videos and interviews with Amy Winehouse's inner circle offer an intimate look at her journey from charismatic teen to troubled star.
Tyson,Movie,R,2008,90 min,"In this surprisingly emotional documentary, heavyweight champ Mike Tyson analyzes the controversies surrounding his career and turbulent private life."
Kurt & Courtney,Movie,R,1998,95 min,"This film charts Nirvana's Kurt Cobain's rise to fame, his drug-addled romance with Courtney Love and the conspiracy theories surrounding his death."
Reincarnated,Movie,R,2012,96 min,"Vice magazine's Andy Capper follows rapper Snoop Dogg on a pilgrimage to Jamaica, where he rechristens himself Snoop Lion, a reggae artist."
Biggie: I Got a Story to Tell,Movie,R,2021,98 min,"Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king."
Paris Is Burning,Movie,R,1990,77 min,"This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival."
"Strip Down, Rise Up",Movie,R,2021,113 min,"In an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program."
Oasis: Supersonic,Movie,R,2016,122 min,This film details the rise of British rock group Oasis and the creativity and chaos that brothers Noel and Liam Gallagher brought to the iconic band.
Operation Varsity Blues: The College Admissions Scandal,Movie,R,2021,100 min,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.
LA 92,Movie,R,2017,114 min,Previously unseen footage is shaped into a fresh and timely retelling of the 1992 Rodney King trial – and the verdict that sparked civil unrest.
American Experience: The Island Murder,Movie,TV-14,2018,53 min,"In 1931, a young Navy wife tore apart Hawaii on racial lines after claiming she was raped by a gang of nonwhite islanders."
Attacking the Devil: Harold Evans and the Last Nazi War Crime,Movie,TV-14,2014,102 min,Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.
"What Happened, Miss Simone?",Movie,TV-14,2015,103 min,"Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone."
Tig,Movie,TV-14,2015,92 min,Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.
Keith Richards: Under the Influence,Movie,TV-14,2015,82 min,"In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today."
My Beautiful Broken Brain,Movie,TV-14,2016,84 min,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write."
Real Crime: Diamond Geezers,Movie,TV-14,2008,46 min,"In an attempted heist worthy of a Hollywood film, a cadre of criminals sets out to steal the world's largest perfect diamond from a London landmark."
The Other One: The Long Strange Trip of Bob Weir,Movie,TV-14,2015,84 min,This chronicle of Bob Weir highlights his brotherhood with Jerry Garcia and his success as a member of one of the world's most influential bands.
Saudi Arabia Uncovered,Movie,TV-14,2016,52 min,"Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change."
The Ivory Game,Movie,TV-14,2016,112 min,"Filmmakers infiltrate the corrupt global network of ivory trafficking, exposing poachers and dealers as African elephants edge closer to extinction."
For the Love of Spock,Movie,TV-14,2016,112 min,"The son of actor Leonard Nimoy directs this moving look at his father's portrayal of Spock, the iconic ""Star Trek"" character he played for 50 years."
One in a Billion,Movie,TV-14,2016,70 min,Follow the journey of Satnam Singh Bhamara as he works to fulfill his dream of becoming the first India-born player to be drafted into the NBA.
Casablancas: The Man Who Loved Women,Movie,TV-14,2016,82 min,The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel.
Once In A Lifetime Sessions with Moby,Movie,TV-14,2018,86 min,"Through performances and interviews, musician Moby opens up about his unusual childhood, his heroes and the stories behind his songs."
The C Word,Movie,TV-14,2016,93 min,"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease."
Sample This,Movie,TV-14,2012,83 min,"This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it."
Virunga: Gorillas in Peril,Movie,TV-14,2015,29 min,The team behind the searing documentary reveals what inspired them to tell the story of Virunga and the lethal fight to save the gorillas' sanctuary.
Print the Legend,Movie,TV-14,2014,100 min,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution."
From One Second to the Next,Movie,TV-14,2013,35 min,Werner Herzog chronicles the devastating consequences of texting and driving. The film examines how lives can be forever altered by a trivial text.
